Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff,ElimFac
"Brooke Smith
","Albertville, Alabama
","College student
",2,7,22.0,12.0,0.875
"Gwen Gioia
","Philadelphia, Pennsylvania
","Executive recruiter
",2,6,31.0,3.0,0.75
"Angela Vaught
","Kansas City, Missouri
","Registered nurse
",2,5,27.0,7.0,0.625
"Hayley Crittenden
","Lake Oswego, Oregon
","Retail manager
",2,4,28.0,6.0,0.5
"Heather Cranford
","Dallas, Texas
","Flight attendant
",2,4,30.0,4.0,0.5
"Christi Weible
","Boise, Idaho
","Assistant financial advisor
",2,3,23.0,11.0,0.375
"Heather Campion
","Walnut Creek, California
","Marriage therapy trainee
",2,3,24.0,10.0,0.375
"Kyla Dickerson
","Midvale, Utah
","Airline supervisor
",2,3,22.0,12.0,0.375
"Shannon Fries
","Long Island, New York
","Graphic artist
",2,3,26.0,8.0,0.375
"Dana Norris
","Beverly Hills, California
","Radio sales
",2,2,24.0,10.0,0.25
"Erin B.
","Westchester, Pennsylvania
","Publications quality control
",2,2,25.0,9.0,0.25
"Suzanne Freeman
","Redondo Beach, California
","Flight attendant
",2,2,33.0,1.0,0.25
"Frances Dinglasan
","San Francisco, California
","Strategic planning analyst
",2,2,30.0,4.0,0.25
"Anindita Dutta
","New York, New York
","Attorney
",2,2,27.0,7.0,0.25
"Amber West
","Chapel Hill, North Carolina
","Psychologist
",2,1,26.0,8.0,0.125
"Camille Langfield
","Los Angeles, California
","Actress
",2,1,29.0,5.0,0.125
"Cari
","Granite City, Illinois
","Teacher
",2,1,29.0,5.0,0.125
"Christy
","Avondale, Arizona
","Radiological technologist
",2,1,24.0,10.0,0.125
"Erin
","Houston, Texas
","Interior designer
",2,1,24.0,10.0,0.125
"Fatima Rivas
","Long Beach, California
","College student
",2,1,22.0,12.0,0.125
"Liangy Fernandez
","Coral Gables, Florida
","Paralegal
",2,1,30.0,4.0,0.125
"Lori Todd
","Dallas, Texas
","Former NBA cheerleader
",2,1,26.0,8.0,0.125
"Merrilee Donahue
","Forked River, New Jersey
","Teacher
",2,1,28.0,6.0,0.125
"Suzi Reid
","Richmond, Virginia
","Communications specialist
",2,1,28.0,6.0,0.125
Lauren Bushnell,"West Linn, Oregon",Flight Attendant,20,11,26.0,6.0,1.0
"Joelle ""JoJo"" Fletcher","Dallas, Texas",Real Estate Developer,20,10,26.0,6.0,0.9090909090909091
Caila Quinn,"Hudson, Ohio",Software Sales Representative,20,9,25.0,5.0,0.8181818181818182
Amanda Stanton,"Laguna Beach, California",Esthetician,20,8,26.0,6.0,0.7272727272727273
Emily Ferguson,"Las Vegas, Nevada",Waitress/Twin,20,7,24.0,4.0,0.6363636363636364
Lauren Himle,"Dexter, Michigan",Kindergarten Teacher,20,6,26.0,6.0,0.5454545454545454
Olivia Caridi,"Austin, Texas",Former News Anchor,20,6,24.0,4.0,0.5454545454545454
Leah Block,"Aurora, Colorado",Event Planner,20,6,26.0,6.0,0.5454545454545454
Jennifer Saviano,"Davie, Florida",Small Business Owner,20,5,27.0,7.0,0.45454545454545453
Jubilee Sharpe,"Fort Lauderdale, Florida",War Veteran,20,5,25.0,5.0,0.45454545454545453
Rachel Tchen,"Little Rock, Arkansas",Unemployed,20,4,24.0,4.0,0.36363636363636365
Haley Ferguson,"Las Vegas, Nevada",Waitress/Twin,20,4,24.0,4.0,0.36363636363636365
Jami Letain,"St. Albert, Alberta",Bartender,20,3,24.0,4.0,0.2727272727272727
Shushanna Mkrtychyan,"Salt Lake City, Utah",Property manager,20,3,28.0,8.0,0.2727272727272727
Lace Morris,"Denver, Colorado",Real Estate Agent,20,3,27.0,7.0,0.2727272727272727
"Amanda ""Mandi"" Kremer","Portland, Oregon",Dentist,20,2,30.0,10.0,0.18181818181818182
"Jacqueline ""Jackie"" Dion","Newport Beach, California",Gerontologist,20,2,24.0,4.0,0.18181818181818182
Samantha Passmore,"New Smyrna Beach, Florida",Attorney,20,2,28.0,8.0,0.18181818181818182
"Lauren ""LB"" Barr","Stillwater, Oklahoma",Fashion Buyer,20,2,24.0,4.0,0.18181818181818182
Breanne Rice,"Seattle, Washington",Nutritional Therapist,20,1,31.0,11.0,0.09090909090909091
Izzy Goodkind,"Branford, Connecticut",Graphic Designer,20,1,26.0,6.0,0.09090909090909091
Jessica Moser,"Boca Raton, Florida",Accountant,20,1,24.0,4.0,0.09090909090909091
Laura Esselman,"Louisville, Kentucky",Account Executive,20,1,25.0,5.0,0.09090909090909091
Lauren Russell,"Houston, Texas",Math Teacher,20,1,27.0,7.0,0.09090909090909091
Maegan Miller,"Visalia, California",Cowgirl,20,1,31.0,11.0,0.09090909090909091
Tiara Soleim,"Redmond, Washington",Chicken Enthusiast,20,1,28.0,8.0,0.09090909090909091
Vanessa Grimaldi,"Montreal, Quebec",Special Education Teacher,21,11,30.0,0.0,1.0
Raven Gates,"Hoxie, Arkansas",Fashion Boutique Owner,21,10,26.0,4.0,0.9090909090909091
Rachel Lindsay,"Dallas, Texas",Attorney,21,9,32.0,2.0,0.8181818181818182
Corinne Olympios,"Miami, Florida",Business Owner,21,8,26.0,4.0,0.7272727272727273
Kristina Schulman,"Lexington, Kentucky",Dental Hygienist,21,7,26.0,4.0,0.6363636363636364
Danielle Maltby,"Germantown, Wisconsin",Neonatal Nurse,21,7,32.0,2.0,0.6363636363636364
Danielle Lombard,"Los Angeles, California",Small Business Owner,21,6,29.0,1.0,0.5454545454545454
Whitney Fransway,"Chanhassen, Minnesota",Pilates Instructor,21,6,26.0,4.0,0.5454545454545454
Jasmine Goode,"Maplewood, New Jersey",Pro Basketball Dancer,21,6,30.0,0.0,0.5454545454545454
Alexis Waters,"Secaucus, New Jersey",Aspiring Dolphin Trainer,21,5,24.0,6.0,0.45454545454545453
Jaimi King,"New Orleans, Louisiana",Chef,21,5,29.0,1.0,0.45454545454545453
Josephine Tutman,"Santa Cruz, California",Unemployed Nurse,21,5,25.0,5.0,0.45454545454545453
Taylor Nolan,"Seattle, Washington",Mental Health Counselor,21,5,24.0,6.0,0.45454545454545453
Astrid Loch,"Tampa, Florida",Plastic Surgery Office Manager,21,4,27.0,3.0,0.36363636363636365
Sarah Vendal,"Newport Beach, California",Grade School Teacher,21,4,27.0,3.0,0.36363636363636365
Brittany Farrar,"Santa Monica, California",Travel Nurse,21,3,27.0,3.0,0.2727272727272727
Christen Whitney,"Tulsa, Oklahoma",Wedding Videographer,21,3,26.0,4.0,0.2727272727272727
Dominique Alexis,"Los Angeles, California",Restaurant Server,21,3,27.0,3.0,0.2727272727272727
Elizabeth Whitelaw,"New Trier, Illinois",Marketing Manager,21,2,26.0,4.0,0.18181818181818182
Hailey Merkt,"Vancouver, British Columbia",Photographer,21,2,25.0,5.0,0.18181818181818182
Lacey Mark,"Montville, New Jersey",Digital Marketing Manager,21,2,27.0,3.0,0.18181818181818182
"Elizabeth ""Liz"" Sandoz","Scottsbluff, Nebraska",Doula,21,2,30.0,0.0,0.18181818181818182
Angela Amezcua,"Greenville, South Carolina",Model,21,1,28.0,2.0,0.09090909090909091
Briana Guertler,"Salt Lake City, Utah",Surgical Unit Nurse,21,1,30.0,0.0,0.09090909090909091
Ida Marie DeLosSantos,"Harlingen, Texas",Sales Manager,21,1,24.0,6.0,0.09090909090909091
Jasmine Brown,"Tacoma, Washington",Flight Attendant,21,1,26.0,4.0,0.09090909090909091
Lauren Hussey,"Naples, Florida",Law School Graduate,21,1,31.0,1.0,0.09090909090909091
Olivia Burnette,"Anchorage, Alaska",Apparel Sales Representative,21,1,26.0,4.0,0.09090909090909091
Michelle Ramkissoon,"Los Angeles, California",Food Truck Owner,21,1,24.0,6.0,0.09090909090909091
Susannah Milan,"San Diego, California",Account Manager,21,1,27.0,3.0,0.09090909090909091
Becca Kufrin,"Prior Lake, Minnesota",Publicist,22,11,28.0,2.0,1.0
Lauren Burnham,"Virginia Beach, Virginia",Technology Salesperson,22,10,27.0,3.0,0.9090909090909091
Kendall Long,"Santa Clarita, California",Creative Director,22,9,27.0,3.0,0.8181818181818182
Tia Booth,"Weiner, Arkansas",Physical Therapist,22,8,27.0,3.0,0.7272727272727273
Bekah Martinez,"Clovis, California",Nanny,22,7,23.0,7.0,0.6363636363636364
Seinne Fleming,"Long Beach, California",Commercial Real Estate Manager,22,7,28.0,2.0,0.6363636363636364
Jacqueline Trumbull,"Morgantown, West Virginia",Real Estate Coordinator,22,7,27.0,3.0,0.6363636363636364
Chelsea Roy,"South Portland, Maine",Real Estate Executive Assistant,22,6,30.0,0.0,0.5454545454545454
Jenna Cooper,"Upland, Indiana",Social Media Manager,22,6,29.0,1.0,0.5454545454545454
Krystal Nielson,"Missoula, Montana",Fitness Coach,22,6,31.0,1.0,0.5454545454545454
Ashley Luebke,"West Palm Beach, Florida",Real Estate Agent,22,5,26.0,4.0,0.45454545454545453
Maquel Cooper,"American Fork, Utah",Photographer,22,5,24.0,6.0,0.45454545454545453
Marikh Mathias,"Salt Lake City, Utah",Restaurant Owner,22,5,28.0,2.0,0.45454545454545453
Brittany Taylor,"Belton, South Carolina",Tech Recruiter,22,4,31.0,1.0,0.36363636363636365
Caroline Lunny,"Holliston, Massachusetts",Realtor,22,4,28.0,2.0,0.36363636363636365
Bibiana Julian,"Miami, Florida",Executive Assistant,22,3,31.0,1.0,0.2727272727272727
Annaliese Puccini,"San Mateo, California",Event Designer,22,3,34.0,4.0,0.2727272727272727
Lauren Schleyer,"Dallas, Texas",Social Media Manager,22,3,32.0,2.0,0.2727272727272727
"Jennifer ""Jenny"" Delaney","Northbrook, Illinois",Graphic Designer,22,2,26.0,4.0,0.18181818181818182
Lauren Griffin,"Indianapolis, Indiana",Executive Recruiter,22,2,27.0,3.0,0.18181818181818182
Valerie Biles,"Nashville, Tennessee",Server,22,2,25.0,5.0,0.18181818181818182
"Alison ""Ali"" Harrington","Lawton, Oklahoma",Personal Stylist,22,1,28.0,2.0,0.09090909090909091
Amber Wilkerson,"Denver, Colorado",Business Owner,22,1,30.0,0.0,0.09090909090909091
"Brianna ""Bri"" Amaranthus","Grants Pass, Oregon",Sports Reporter,22,1,26.0,4.0,0.09090909090909091
Brittane Johnson,"San Diego, California",Marketing Manager,22,1,28.0,2.0,0.09090909090909091
Jessica Carroll,"Calgary, Alberta",Television Host,22,1,28.0,2.0,0.09090909090909091
Lauren Jarreau,"New Roads, Louisiana",Recent Master's Graduate,22,1,34.0,4.0,0.09090909090909091
Nysha Norris,"Anderson, South Carolina",Orthopedic Nurse,22,1,31.0,1.0,0.09090909090909091
Olivia Goethals,"Geneseo, Illinois",Marketing Associate,22,1,25.0,5.0,0.09090909090909091
Cassie Randolph,"Huntington Beach, California",Speech Pathologist,23,11,24.0,4.0,1.0
Hannah Godwin,"Birmingham, Alabama",Content Creator,23,9,24.0,4.0,0.8181818181818182
Tayshia Adams,"Santa Ana, California",Phlebotomist,23,9,29.0,9.0,0.8181818181818182
Caelynn Miller-Keyes,"Fredericksburg, Virginia",Miss North Carolina USA 2018,23,8,24.0,4.0,0.7272727272727273
Kirpa Sudick,"Whittier, California",Dental Hygienist,23,7,27.0,7.0,0.6363636363636364
Heather Martin,"Carlsbad, California",Assistant Program Manager,23,7,24.0,4.0,0.6363636363636364
Hannah Brown,"Tuscaloosa, Alabama",Miss Alabama USA 2018,23,7,25.0,5.0,0.6363636363636364
Katie Morton,"Oviedo, Florida",Medical Sales Representative,23,6,27.0,7.0,0.5454545454545454
Demi Burnett,"Red Oak, Texas",Interior Designer,23,6,24.0,4.0,0.5454545454545454
Sydney Lotuaco,"Virginia Beach, Virginia",NBA Dancer,23,6,28.0,8.0,0.5454545454545454
Nicole Lopez-Alvar,"Miami, Florida",Social Media Coordinator,23,5,27.0,7.0,0.45454545454545453
Onyeka Ehie,"Dallas, Texas",IT Risk Consultant,23,5,25.0,5.0,0.45454545454545453
Elyse Dehlbom,"Soldotna, Alaska",Makeup Artist,23,5,32.0,12.0,0.45454545454545453
Courtney Curtis,"McDonough, Georgia",Caterer,23,4,24.0,4.0,0.36363636363636365
Tracy Shapoff,"Los Angeles, California",Wardrobe Stylist,23,4,33.0,13.0,0.36363636363636365
"Brianna ""Bri"" Barnes","Los Angeles, California",Model,23,3,25.0,5.0,0.2727272727272727
Catherine Agro,"Fort Lauderdale, Florida",DJ,23,3,28.0,8.0,0.2727272727272727
Nina Bartula,"Raleigh, North Carolina",Sales Account Manager,23,3,30.0,10.0,0.2727272727272727
Caitlin Clemmens,"Toronto, Ontario",Realtor,23,3,26.0,6.0,0.2727272727272727
Alex Blumberg,"Vancouver, British Columbia",Dog Rescuer,23,2,30.0,10.0,0.18181818181818182
Angelique Sherman,"Hamilton, New Jersey",Marketing Sales Assistant,23,2,29.0,9.0,0.18181818181818182
Annie Reardon,"Mequon, Wisconsin",Financial Associate,23,2,24.0,4.0,0.18181818181818182
Erika McNutt,"Encinitas, California",Recruiter,23,2,26.0,6.0,0.18181818181818182
Alex Dillon,"Boston, Massachusetts",IT Account Manager,23,1,25.0,5.0,0.09090909090909091
Devin Gooden,"Medford, Oregon",Broadcast Journalist,23,1,25.0,5.0,0.09090909090909091
Erin Landry,"Plano, Texas",Home Improvement Employee,23,1,29.0,9.0,0.09090909090909091
Jane Averbukh,"West Hollywood, California",Social Worker,23,1,27.0,7.0,0.09090909090909091
Laura Pellerito,"Dallas, Texas",Accountant,23,1,27.0,7.0,0.09090909090909091
Revian Chang,"Santa Monica, California",Esthetician,23,1,25.0,5.0,0.09090909090909091
Tahzjuan Hawkins,"Castle Pines, Colorado",Business Development Associate,23,1,27.0,7.0,0.09090909090909091
Hannah Sluss,"Knoxville, Tennessee",Model,24,11,24.0,2.0,1.0
Madison Prewett,"Auburn, Alabama",Foster Parent Recruiter,24,10,24.0,2.0,0.9090909090909091
Victoria Fuller,"Virginia Beach, Virginia",Medical Sales Representative,24,9,27.0,5.0,0.8181818181818182
Kelsey Weier,"Des Moines, Iowa",Professional Clothier,24,8,29.0,7.0,0.7272727272727273
Kelley Flanagan,"Chicago, Illinois",Attorney,24,7,28.0,6.0,0.6363636363636364
Natasha Parker,"New York City, New York",Event Planner,24,7,32.0,10.0,0.6363636363636364
Mykenna Dorn,"Langely, British Columbia",Fashion Blogger,24,6,23.0,1.0,0.5454545454545454
Sydney Hightower,"Northport, Alabama",Retail Marketing Manager,24,6,25.0,3.0,0.5454545454545454
Tammy Ly,"Syracuse, New York",House Flipper,24,6,25.0,3.0,0.5454545454545454
Victoria Paul,"Alexandria, Louisiana",Nurse,24,6,28.0,6.0,0.5454545454545454
Lexi Buchanan,"Jacksonville, Florida",Marketing Coordinator,24,5,27.0,5.0,0.45454545454545453
Shiann Lewis,"Las Vegas, Nevada",Administrative Assistant,24,5,28.0,6.0,0.45454545454545453
Deandra Kanu,"Bar Harbor, Maine",Home Care Coordinator,24,4,24.0,2.0,0.36363636363636365
Kiarra Norman,"Kennesaw, Georgia",Nanny,24,4,24.0,2.0,0.36363636363636365
Savannah Mullins,"Houston, Texas",Realtor,24,4,28.0,6.0,0.36363636363636365
Alayah Benavidez,"San Antonio, Texas",Orthodontist Assistant,24,4,25.0,3.0,0.36363636363636365
Alexa Caves,"Springfield, Illinois",Esthetician,24,3,28.0,6.0,0.2727272727272727
Jasmine Nguyen,"Houston, Texas",Client Relations Manager,24,3,26.0,4.0,0.2727272727272727
Sarah Coffin,"Knoxville, Tennessee",Medical Radiographer,24,3,25.0,3.0,0.2727272727272727
Courtney Perry,"Venice, Florida",Cosmetologist,24,2,28.0,6.0,0.18181818181818182
Lauren Jones,"Glendale, California",Marketing Executive,24,2,28.0,6.0,0.18181818181818182
Payton Moran,"Wellesley, Massachusetts",Business Development Rep,24,2,25.0,3.0,0.18181818181818182
Avonlea Elkins,"Fort Worth, Texas",Cattle Rancher,24,1,28.0,6.0,0.09090909090909091
Eunice Cho,"Chicago, Illinois",Flight Attendant,24,1,24.0,2.0,0.09090909090909091
Jade Gilliland,"Mesa, Arizona",Flight Attendant,24,1,28.0,6.0,0.09090909090909091
Jenna Serrano,"New Lenox, Illinois",Nursing Student,24,1,24.0,2.0,0.09090909090909091
Katrina Badowski,"Chicago, Illinois",Professional NBA Dancer,24,1,29.0,7.0,0.09090909090909091
Kylie Ramos,"Santa Monica, California",Entertaiment Sales Associate,24,1,27.0,5.0,0.09090909090909091
Maurissa Gunn,"Laurel, Montana",Patient Care Coordinator,24,1,24.0,2.0,0.09090909090909091
Megan Hops,"San Francisco, California",Flight Attendant,24,1,27.0,5.0,0.09090909090909091
Rachael Kirkconnell,"Cumming, Georgia",Graphic Designer,25,11,25.0,2.0,1.0
Michelle Young,"Edina, Minnesota",Teacher,25,10,28.0,5.0,0.9090909090909091
Bri Springs,"San Francisco, California",Communications Manager,25,9,26.0,3.0,0.8181818181818182
Serena Pitt,"Markham, Ontario",Publicist,25,8,24.0,1.0,0.7272727272727273
Pieper James,"Happy Valley, Oregon",Graduate Student,25,7,24.0,1.0,0.6363636363636364
Jessenia Cruz,"El Paso, Texas",Social Media Marketer,25,7,29.0,6.0,0.6363636363636364
Kit Keenan,"New York City, New York",Socialite,25,7,22.0,1.0,0.6363636363636364
Abigail Heringer,"Salem, Oregon",Client Financial Manager,25,7,26.0,3.0,0.6363636363636364
Chelsea Vaughn,"Marietta, Georgia",Runway Model,25,6,29.0,6.0,0.5454545454545454
Serena Chew,"San Francisco, California",Flight Attendant,25,6,25.0,2.0,0.5454545454545454
Katie Thurston,"Renton, Washington",Bank Marketing Manager,25,6,30.0,7.0,0.5454545454545454
Brittany Galvin,"Hinsdale, Illinois",Model,25,5,24.0,1.0,0.45454545454545453
"Mearg ""Magi"" Tareke","Washington, D.C.",Pharmacist,25,5,33.0,10.0,0.45454545454545453
Ryan Claytor,"Mechanicsville, Virginia",Choreographer,25,5,27.0,4.0,0.45454545454545453
MJ Snyder,"Hudson, Ohio",Hairstylist,25,5,25.0,2.0,0.45454545454545453
Catalina Morales,"Caguas, Puerto Rico",Former Miss Puerto Rico,25,4,31.0,8.0,0.36363636363636365
Lauren Maddox,"Miami, Florida",Corporate Attorney,25,4,30.0,7.0,0.36363636363636365
"Mariela ""Mari"" Pepin","Severn, Maryland",Marketing Director,25,4,25.0,2.0,0.36363636363636365
Victoria Larson,"Los Angeles, California",Queen,25,4,28.0,5.0,0.36363636363636365
Anna Redman,"Owatonna, Minnesota",Copywriter,25,4,25.0,2.0,0.36363636363636365
Kaili Anderson,"Chicago, Illinois",Hostess,25,3,27.0,4.0,0.2727272727272727
Khaylah Epps,"Durham, North Carolina",Healthcare Advocate,25,3,29.0,6.0,0.2727272727272727
Kim Li,"Los Angeles, California",ICU Nurse,25,3,29.0,6.0,0.2727272727272727
Sarah Trott,"San Diego, California",Broadcast Journalist,25,3,25.0,2.0,0.2727272727272727
Alana Milne,"Toronto, Ontario",Photographer,25,2,27.0,4.0,0.18181818181818182
Illeana Pennetto,"South Salem, New York",Health Food Developer,25,2,27.0,4.0,0.18181818181818182
Kristin Hopkins,"Virginia Beach, Virginia",Attorney,25,2,28.0,5.0,0.18181818181818182
Marylynn Sienna,"Huntington Beach, California",Event Coordinator,25,2,29.0,6.0,0.18181818181818182
Sydney Johnson,"Franklin, Tennessee",Marketing Specialist,25,2,29.0,6.0,0.18181818181818182
Alicia Holloway,"Morgantown, West Virginia",Professional Ballerina,25,1,25.0,2.0,0.09090909090909091
Amber Andrews,"Costa Mesa, California",Nursing Student,25,1,31.0,8.0,0.09090909090909091
Carolyn Vallejo,"Newburyport, Massachusetts",Journalist,25,1,31.0,8.0,0.09090909090909091
Casandra Suarez,"Lodi, California",Social Worker,25,1,27.0,4.0,0.09090909090909091
Corrinne Jones,"Pomfret, Connecticut",Marketing Manager,25,1,23.0,0.0,0.09090909090909091
Emani Curl,"Albuquerque, New Mexico",Realtor,25,1,26.0,3.0,0.09090909090909091
Kimberly Courneya,"Seattle, Washington",Airline Recruiter,25,1,30.0,7.0,0.09090909090909091
Saneh Ste Clare,"Denver, Colorado",IT Consultant,25,1,26.0,3.0,0.09090909090909091
Susie Evans,"Poquoson, Virginia",Wedding Videographer,26,10,29.0,7.0,1.0
Gabby Windey,"Denver, Colorado",ICU Nurse,26,9,31.0,9.0,0.9
Rachel Recchia,"Clermont, Florida",Flight Instructor,26,9,26.0,4.0,0.9
Serene Russell,"Oklahoma City, Oklahoma",Elementary School Teacher,26,8,27.0,5.0,0.8
Teddi Wright,"Redlands, California",Surgical Unit Nurse,26,7,26.0,4.0,0.7
Sarah Hamrick,"Spartanburg, South Carolina",Wealth Management Advisor,26,7,24.0,2.0,0.7
Genevieve Parisi,"Rehoboth, Massachusetts",Bartender,26,7,27.0,5.0,0.7
Eliza Isichei,"Tampa, Florida",Marketing Manager,26,6,26.0,4.0,0.6
Mara Agrait,"Collingswood, New Jersey",Entrepreneur,26,6,33.0,11.0,0.6
Hunter Haag,"Charlotte, North Carolina",Human Resource Specialist,26,5,30.0,8.0,0.5
Marlena Wesh,"Virginia Beach, Virginia",Former Olympian,26,5,31.0,9.0,0.5
Shanae Ankney,"Sycamore, Ohio",Recruiter,26,5,30.0,8.0,0.5
Jill Chin,"Scituate, Rhode Island",Architectural Historian,26,4,27.0,5.0,0.4
Lyndsey Windham,"Orange, Texas",Industrial Sales Representative,26,4,29.0,7.0,0.4
Sierra Jackson,"Oklahoma City, Oklahoma",Yoga Instructor,26,4,27.0,5.0,0.4
Elizabeth Corrigan,"Highlands Ranch, Colorado",Real Estate Advisor,26,3,33.0,11.0,0.3
Kira Mengistu,"Philadelphia, Pennsylvania",Physician,26,3,33.0,11.0,0.3
Melina Nasab,"West Hollywood, California",Personal Trainer,26,3,28.0,6.0,0.3
Ency Abedin,"Burbank, California",Sales Manager,26,2,29.0,7.0,0.2
Kate Gallivan,"Lake Hollywood, California",Real Estate Agent,26,2,33.0,11.0,0.2
Tessa Tookes,"Stamford, Connecticut",HR Specialist,26,2,27.0,5.0,0.2
Cassidy Timbrooks,"Cave Creek, Arizona",Executive Recruiter,26,2,27.0,5.0,0.2
Daria Rose,"Baldwin, New York",Law Student,26,1,25.0,3.0,0.1
Hailey Malles,"Orlando, Florida",Pediatric Nurse,26,1,27.0,5.0,0.1
Ivana Noble,"Snellville, Georgia",Bar Mitzvah Dancer,26,1,32.0,10.0,0.1
Jane Paik,"Los Angeles, California",Social Media Director,26,1,34.0,12.0,0.1
Lindsay Dobbs,"Warner Robins, Georgia",Neonatal nurse,26,1,28.0,6.0,0.1
Rianna Hockaday,"Mount Pleasant, Texas",Registered Nurse,26,1,28.0,6.0,0.1
Samantha Jeffries,"Dayton, Ohio",Occupational Therapist,26,1,27.0,5.0,0.1
Claire Heilig,"Virginia Beach, Virginia",Spray Tanner,26,1,30.0,8.0,0.1
"Kaitlyn ""Kaity"" Biggar","Kingston, Ontario",Travel Nurse,27,11,29.0,9.0,1.0
"Gabriella ""Gabi"" Elnicki","Pittsford, Vermont",Senior Account Executive,27,10,26.0,6.0,0.9090909090909091
Ariel Frenkel,"Manhattan, New York",Marketing Executive,27,9,29.0,9.0,0.8181818181818182
Charity Lawson,"Columbus, Georgia",Child and Family Therapist,27,8,28.0,8.0,0.7272727272727273
Katherine Izzo,"Tampa, Florida",Registered Nurse,27,7,27.0,7.0,0.6363636363636364
Brooklyn Willie,"Mineola, Texas",Rodeo Racer,27,7,26.0,6.0,0.6363636363636364
Greer Blitzer,"Bellaire, Texas",Medical Sales Representative,27,7,25.0,5.0,0.6363636363636364
"Alyssa ""Aly"" Jacobs","Smyrna, Georgia",Healthcare Strategist,27,6,27.0,7.0,0.5454545454545454
Jess Girod,"Winter Springs, Florida",E-Commerce Coordinator,27,6,24.0,4.0,0.5454545454545454
Kylee Russell,"Charlotte, North Carolina",Postpartum Nurse,27,5,26.0,6.0,0.45454545454545453
Mercedes Northup,"Bloomfield, Iowa",Nonprofit Case Manager,27,5,25.0,5.0,0.45454545454545453
Davia Bunch,"Roebuck, South Carolina",Marketing Manager,27,4,26.0,6.0,0.36363636363636365
Genevie Mayo,"Joppa, Maryland",Neonatal Nurse,27,4,27.0,7.0,0.36363636363636365
Anastasia Keramidas,"Baltimore, Maryland",Content Marketing Manager,27,4,31.0,11.0,0.36363636363636365
Christina Mandrell,"Hendersonville, Tennessee",Content Creator,27,3,28.0,8.0,0.2727272727272727
Brianna Thorbourne,Entrepreneur,"Jersey City, New Jersey",27,3,25.0,5.0,0.2727272727272727
Bailey Brown,"Brentwood, Tennessee",Executive Recruiter,27,3,28.0,8.0,0.2727272727272727
"Catherine ""Cat"" Wong","Long Island, New York",Professional Dancer,27,2,27.0,7.0,0.18181818181818182
Kimberly Gutierrez,"Stroudsburg, Pennsylvania",Hospitality Manager,27,2,31.0,11.0,0.18181818181818182
Victoria Jameson,"Keller, Texas",Professional Makeup Artist,27,2,31.0,11.0,0.18181818181818182
Becca Serrano,"Burbank, California",Nursing Student,27,1,27.0,7.0,0.09090909090909091
Cara Ammon,"McCandless, Pennsylvania",Corporate Recruiter,27,1,28.0,8.0,0.09090909090909091
Holland Parsons,"Boca Raton, Florida",Insurance Marketer,27,1,25.0,5.0,0.09090909090909091
Lekha Ravi,"Miami, Florida",Financial Advisor,27,1,30.0,10.0,0.09090909090909091
Olivia Lewis,"Churchville, New York",Patient Care Technician,27,1,25.0,5.0,0.09090909090909091
Olivia Miller,"Delphos, Ohio",Stylist,27,1,27.0,7.0,0.09090909090909091
Sonia Sharma,"Jericho, New York",Project Manager,27,1,30.0,10.0,0.09090909090909091
Vanessa Dinh,"Farmington Hills, Michigan",Restaurant Marketer,27,1,24.0,4.0,0.09090909090909091
Viktoria Eichner,"Chicago, Illinois",Nanny,27,1,30.0,10.0,0.09090909090909091
Madison Johnson,"Fargo, North Dakota",Business Owner,27,1,28.0,8.0,0.09090909090909091
Kelsey Anderson,"Leesville, Louisiana",Junior Project Manager,28,11,26.0,4.0,1.0
Daisy Kent,"Becker, Minnesota",Account Executive,28,10,26.0,4.0,0.9090909090909091
Rachel Nance,"Honolulu, Hawaii",ICU Nurse,28,9,27.0,5.0,0.8181818181818182
Maria Georgas,"Kleinburg, Ontario",Executive Assistant,28,8,30.0,8.0,0.7272727272727273
Jenn Tran,"Hillsdale, New Jersey",Physician Assistant Student,28,7,27.0,5.0,0.6363636363636364
Kelsey Toussant,"Inglewood, California",Actress,28,7,32.0,10.0,0.6363636363636364
Katelyn DeBacker,"Santa Fe, New Mexico",Radiochemist,28,6,27.0,5.0,0.5454545454545454
Lea Cayanan,"Waipahu, Hawaii",Account Manager,28,6,24.0,2.0,0.5454545454545454
Lexi Young,"Pataskala, Ohio",Digital Strategist,28,6,31.0,9.0,0.5454545454545454
Jess Edwards,"Erwin, Tennessee",Executive Assistant,28,6,25.0,3.0,0.5454545454545454
Autumn Waggoner,"De Soto, Missouri",Account Executive,28,5,27.0,5.0,0.45454545454545453
Madina Alam,"Johnstown, New York",Mental Health Therapist,28,5,32.0,10.0,0.45454545454545453
Allison Hollinger,"Dover, Delaware",Realtor,28,4,27.0,5.0,0.36363636363636365
Edwina Dorbor,"Maple Grove, Minnesota",Entrepreneur,28,4,26.0,4.0,0.36363636363636365
Sydney Gordon,"Newport, Rhode Island",Vintage Store Owner,28,4,29.0,7.0,0.36363636363636365
Chrissa Perez,"Abbotsford, British Columbia",Marketing Director,28,3,28.0,6.0,0.2727272727272727
Evalin Clark,"San Antonio, Texas",Nanny,28,3,30.0,8.0,0.2727272727272727
Starr Skyler,"Delray Beach, Florida",Mental Health Counselor,28,3,27.0,5.0,0.2727272727272727
Erika Cardenas,"North Bergen, New Jersey",Leasing Agent,28,2,26.0,4.0,0.18181818181818182
Marlena Haddad,"Waterbury, Connecticut",Finance Writer,28,2,28.0,6.0,0.18181818181818182
