Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff
Alexis Waters,"Secaucus, New Jersey",Aspiring Dolphin Trainer,21,5,24.0,6.0
Jaimi King,"New Orleans, Louisiana",Chef,21,5,29.0,1.0
Josephine Tutman,"Santa Cruz, California",Unemployed Nurse,21,5,25.0,5.0
Taylor Nolan,"Seattle, Washington",Mental Health Counselor,21,5,24.0,6.0
Astrid Loch,"Tampa, Florida",Plastic Surgery Office Manager,21,4,27.0,3.0
Sarah Vendal,"Newport Beach, California",Grade School Teacher,21,4,27.0,3.0
Brittany Farrar,"Santa Monica, California",Travel Nurse,21,3,27.0,3.0
Christen Whitney,"Tulsa, Oklahoma",Wedding Videographer,21,3,26.0,4.0
Dominique Alexis,"Los Angeles, California",Restaurant Server,21,3,27.0,3.0
Elizabeth Whitelaw,"New Trier, Illinois",Marketing Manager,21,2,26.0,4.0
Hailey Merkt,"Vancouver, British Columbia",Photographer,21,2,25.0,5.0
Lacey Mark,"Montville, New Jersey",Digital Marketing Manager,21,2,27.0,3.0
"Elizabeth ""Liz"" Sandoz","Scottsbluff, Nebraska",Doula,21,2,30.0,0.0
Angela Amezcua,"Greenville, South Carolina",Model,21,1,28.0,2.0
Briana Guertler,"Salt Lake City, Utah",Surgical Unit Nurse,21,1,30.0,0.0
Ida Marie DeLosSantos,"Harlingen, Texas",Sales Manager,21,1,24.0,6.0
Jasmine Brown,"Tacoma, Washington",Flight Attendant,21,1,26.0,4.0
Lauren Hussey,"Naples, Florida",Law School Graduate,21,1,31.0,1.0
Olivia Burnette,"Anchorage, Alaska",Apparel Sales Representative,21,1,26.0,4.0
Michelle Ramkissoon,"Los Angeles, California",Food Truck Owner,21,1,24.0,6.0
Susannah Milan,"San Diego, California",Account Manager,21,1,27.0,3.0
Becca Kufrin,"Prior Lake, Minnesota",Publicist,22,11,28.0,2.0
Lauren Burnham,"Virginia Beach, Virginia",Technology Salesperson,22,10,27.0,3.0
Kendall Long,"Santa Clarita, California",Creative Director,22,9,27.0,3.0
Tia Booth,"Weiner, Arkansas",Physical Therapist,22,8,27.0,3.0
Bekah Martinez,"Clovis, California",Nanny,22,7,23.0,7.0
Seinne Fleming,"Long Beach, California",Commercial Real Estate Manager,22,7,28.0,2.0
Jacqueline Trumbull,"Morgantown, West Virginia",Real Estate Coordinator,22,7,27.0,3.0
Chelsea Roy,"South Portland, Maine",Real Estate Executive Assistant,22,6,30.0,0.0
Jenna Cooper,"Upland, Indiana",Social Media Manager,22,6,29.0,1.0
Krystal Nielson,"Missoula, Montana",Fitness Coach,22,6,31.0,1.0
Ashley Luebke,"West Palm Beach, Florida",Real Estate Agent,22,5,26.0,4.0
Maquel Cooper,"American Fork, Utah",Photographer,22,5,24.0,6.0
Marikh Mathias,"Salt Lake City, Utah",Restaurant Owner,22,5,28.0,2.0
Brittany Taylor,"Belton, South Carolina",Tech Recruiter,22,4,31.0,1.0
Caroline Lunny,"Holliston, Massachusetts",Realtor,22,4,28.0,2.0
Bibiana Julian,"Miami, Florida",Executive Assistant,22,3,31.0,1.0
Annaliese Puccini,"San Mateo, California",Event Designer,22,3,34.0,4.0
Lauren Schleyer,"Dallas, Texas",Social Media Manager,22,3,32.0,2.0
"Jennifer ""Jenny"" Delaney","Northbrook, Illinois",Graphic Designer,22,2,26.0,4.0
Lauren Griffin,"Indianapolis, Indiana",Executive Recruiter,22,2,27.0,3.0
Valerie Biles,"Nashville, Tennessee",Server,22,2,25.0,5.0
"Alison ""Ali"" Harrington","Lawton, Oklahoma",Personal Stylist,22,1,28.0,2.0
Amber Wilkerson,"Denver, Colorado",Business Owner,22,1,30.0,0.0
"Brianna ""Bri"" Amaranthus","Grants Pass, Oregon",Sports Reporter,22,1,26.0,4.0
Brittane Johnson,"San Diego, California",Marketing Manager,22,1,28.0,2.0
Jessica Carroll,"Calgary, Alberta",Television Host,22,1,28.0,2.0
Lauren Jarreau,"New Roads, Louisiana",Recent Master's Graduate,22,1,34.0,4.0
Nysha Norris,"Anderson, South Carolina",Orthopedic Nurse,22,1,31.0,1.0
Olivia Goethals,"Geneseo, Illinois",Marketing Associate,22,1,25.0,5.0
Cassie Randolph,"Huntington Beach, California",Speech Pathologist,23,11,24.0,4.0
Hannah Godwin,"Birmingham, Alabama",Content Creator,23,9,24.0,4.0
Tayshia Adams,"Santa Ana, California",Phlebotomist,23,9,29.0,9.0
Caelynn Miller-Keyes,"Fredericksburg, Virginia",Miss North Carolina USA 2018,23,8,24.0,4.0
Kirpa Sudick,"Whittier, California",Dental Hygienist,23,7,27.0,7.0
Heather Martin,"Carlsbad, California",Assistant Program Manager,23,7,24.0,4.0
Hannah Brown,"Tuscaloosa, Alabama",Miss Alabama USA 2018,23,7,25.0,5.0
Katie Morton,"Oviedo, Florida",Medical Sales Representative,23,6,27.0,7.0
Demi Burnett,"Red Oak, Texas",Interior Designer,23,6,24.0,4.0
Sydney Lotuaco,"Virginia Beach, Virginia",NBA Dancer,23,6,28.0,8.0
Nicole Lopez-Alvar,"Miami, Florida",Social Media Coordinator,23,5,27.0,7.0
Onyeka Ehie,"Dallas, Texas",IT Risk Consultant,23,5,25.0,5.0
Elyse Dehlbom,"Soldotna, Alaska",Makeup Artist,23,5,32.0,12.0
Courtney Curtis,"McDonough, Georgia",Caterer,23,4,24.0,4.0
Tracy Shapoff,"Los Angeles, California",Wardrobe Stylist,23,4,33.0,13.0
"Brianna ""Bri"" Barnes","Los Angeles, California",Model,23,3,25.0,5.0
Catherine Agro,"Fort Lauderdale, Florida",DJ,23,3,28.0,8.0
Nina Bartula,"Raleigh, North Carolina",Sales Account Manager,23,3,30.0,10.0
Caitlin Clemmens,"Toronto, Ontario",Realtor,23,3,26.0,6.0
Alex Blumberg,"Vancouver, British Columbia",Dog Rescuer,23,2,30.0,10.0
Angelique Sherman,"Hamilton, New Jersey",Marketing Sales Assistant,23,2,29.0,9.0
Annie Reardon,"Mequon, Wisconsin",Financial Associate,23,2,24.0,4.0
Erika McNutt,"Encinitas, California",Recruiter,23,2,26.0,6.0
Alex Dillon,"Boston, Massachusetts",IT Account Manager,23,1,25.0,5.0
Devin Gooden,"Medford, Oregon",Broadcast Journalist,23,1,25.0,5.0
Erin Landry,"Plano, Texas",Home Improvement Employee,23,1,29.0,9.0
Jane Averbukh,"West Hollywood, California",Social Worker,23,1,27.0,7.0
Laura Pellerito,"Dallas, Texas",Accountant,23,1,27.0,7.0
Revian Chang,"Santa Monica, California",Esthetician,23,1,25.0,5.0
Tahzjuan Hawkins,"Castle Pines, Colorado",Business Development Associate,23,1,27.0,7.0
Hannah Sluss,"Knoxville, Tennessee",Model,24,11,24.0,2.0
Madison Prewett,"Auburn, Alabama",Foster Parent Recruiter,24,10,24.0,2.0
Victoria Fuller,"Virginia Beach, Virginia",Medical Sales Representative,24,9,27.0,5.0
Kelsey Weier,"Des Moines, Iowa",Professional Clothier,24,8,29.0,7.0
Kelley Flanagan,"Chicago, Illinois",Attorney,24,7,28.0,6.0
Natasha Parker,"New York City, New York",Event Planner,24,7,32.0,10.0
Mykenna Dorn,"Langely, British Columbia",Fashion Blogger,24,6,23.0,1.0
Sydney Hightower,"Northport, Alabama",Retail Marketing Manager,24,6,25.0,3.0
Tammy Ly,"Syracuse, New York",House Flipper,24,6,25.0,3.0
Victoria Paul,"Alexandria, Louisiana",Nurse,24,6,28.0,6.0
Lexi Buchanan,"Jacksonville, Florida",Marketing Coordinator,24,5,27.0,5.0
Shiann Lewis,"Las Vegas, Nevada",Administrative Assistant,24,5,28.0,6.0
Deandra Kanu,"Bar Harbor, Maine",Home Care Coordinator,24,4,24.0,2.0
Kiarra Norman,"Kennesaw, Georgia",Nanny,24,4,24.0,2.0
Savannah Mullins,"Houston, Texas",Realtor,24,4,28.0,6.0
Alayah Benavidez,"San Antonio, Texas",Orthodontist Assistant,24,4,25.0,3.0
Alexa Caves,"Springfield, Illinois",Esthetician,24,3,28.0,6.0
Jasmine Nguyen,"Houston, Texas",Client Relations Manager,24,3,26.0,4.0
Sarah Coffin,"Knoxville, Tennessee",Medical Radiographer,24,3,25.0,3.0
Courtney Perry,"Venice, Florida",Cosmetologist,24,2,28.0,6.0
Lauren Jones,"Glendale, California",Marketing Executive,24,2,28.0,6.0
Payton Moran,"Wellesley, Massachusetts",Business Development Rep,24,2,25.0,3.0
Avonlea Elkins,"Fort Worth, Texas",Cattle Rancher,24,1,28.0,6.0
Eunice Cho,"Chicago, Illinois",Flight Attendant,24,1,24.0,2.0
Jade Gilliland,"Mesa, Arizona",Flight Attendant,24,1,28.0,6.0
Jenna Serrano,"New Lenox, Illinois",Nursing Student,24,1,24.0,2.0
Katrina Badowski,"Chicago, Illinois",Professional NBA Dancer,24,1,29.0,7.0
Kylie Ramos,"Santa Monica, California",Entertaiment Sales Associate,24,1,27.0,5.0
Maurissa Gunn,"Laurel, Montana",Patient Care Coordinator,24,1,24.0,2.0
Megan Hops,"San Francisco, California",Flight Attendant,24,1,27.0,5.0
Rachael Kirkconnell,"Cumming, Georgia",Graphic Designer,25,11,25.0,2.0
Michelle Young,"Edina, Minnesota",Teacher,25,10,28.0,5.0
Bri Springs,"San Francisco, California",Communications Manager,25,9,26.0,3.0
Serena Pitt,"Markham, Ontario",Publicist,25,8,24.0,1.0
Pieper James,"Happy Valley, Oregon",Graduate Student,25,7,24.0,1.0
Jessenia Cruz,"El Paso, Texas",Social Media Marketer,25,7,29.0,6.0
Kit Keenan,"New York City, New York",Socialite,25,7,22.0,1.0
Abigail Heringer,"Salem, Oregon",Client Financial Manager,25,7,26.0,3.0
Chelsea Vaughn,"Marietta, Georgia",Runway Model,25,6,29.0,6.0
Serena Chew,"San Francisco, California",Flight Attendant,25,6,25.0,2.0
Katie Thurston,"Renton, Washington",Bank Marketing Manager,25,6,30.0,7.0
Brittany Galvin,"Hinsdale, Illinois",Model,25,5,24.0,1.0
"Mearg ""Magi"" Tareke","Washington, D.C.",Pharmacist,25,5,33.0,10.0
Ryan Claytor,"Mechanicsville, Virginia",Choreographer,25,5,27.0,4.0
MJ Snyder,"Hudson, Ohio",Hairstylist,25,5,25.0,2.0
Catalina Morales,"Caguas, Puerto Rico",Former Miss Puerto Rico,25,4,31.0,8.0
Lauren Maddox,"Miami, Florida",Corporate Attorney,25,4,30.0,7.0
"Mariela ""Mari"" Pepin","Severn, Maryland",Marketing Director,25,4,25.0,2.0
Victoria Larson,"Los Angeles, California",Queen,25,4,28.0,5.0
Anna Redman,"Owatonna, Minnesota",Copywriter,25,4,25.0,2.0
Kaili Anderson,"Chicago, Illinois",Hostess,25,3,27.0,4.0
Khaylah Epps,"Durham, North Carolina",Healthcare Advocate,25,3,29.0,6.0
Kim Li,"Los Angeles, California",ICU Nurse,25,3,29.0,6.0
Sarah Trott,"San Diego, California",Broadcast Journalist,25,3,25.0,2.0
Alana Milne,"Toronto, Ontario",Photographer,25,2,27.0,4.0
Illeana Pennetto,"South Salem, New York",Health Food Developer,25,2,27.0,4.0
Kristin Hopkins,"Virginia Beach, Virginia",Attorney,25,2,28.0,5.0
Marylynn Sienna,"Huntington Beach, California",Event Coordinator,25,2,29.0,6.0
Sydney Johnson,"Franklin, Tennessee",Marketing Specialist,25,2,29.0,6.0
Alicia Holloway,"Morgantown, West Virginia",Professional Ballerina,25,1,25.0,2.0
Amber Andrews,"Costa Mesa, California",Nursing Student,25,1,31.0,8.0
Carolyn Vallejo,"Newburyport, Massachusetts",Journalist,25,1,31.0,8.0
Casandra Suarez,"Lodi, California",Social Worker,25,1,27.0,4.0
Corrinne Jones,"Pomfret, Connecticut",Marketing Manager,25,1,23.0,0.0
Emani Curl,"Albuquerque, New Mexico",Realtor,25,1,26.0,3.0
Kimberly Courneya,"Seattle, Washington",Airline Recruiter,25,1,30.0,7.0
Saneh Ste Clare,"Denver, Colorado",IT Consultant,25,1,26.0,3.0
Susie Evans,"Poquoson, Virginia",Wedding Videographer,26,10,29.0,7.0
Gabby Windey,"Denver, Colorado",ICU Nurse,26,9,31.0,9.0
Rachel Recchia,"Clermont, Florida",Flight Instructor,26,9,26.0,4.0
Serene Russell,"Oklahoma City, Oklahoma",Elementary School Teacher,26,8,27.0,5.0
Teddi Wright,"Redlands, California",Surgical Unit Nurse,26,7,26.0,4.0
Sarah Hamrick,"Spartanburg, South Carolina",Wealth Management Advisor,26,7,24.0,2.0
Genevieve Parisi,"Rehoboth, Massachusetts",Bartender,26,7,27.0,5.0
Eliza Isichei,"Tampa, Florida",Marketing Manager,26,6,26.0,4.0
Mara Agrait,"Collingswood, New Jersey",Entrepreneur,26,6,33.0,11.0
Hunter Haag,"Charlotte, North Carolina",Human Resource Specialist,26,5,30.0,8.0
Marlena Wesh,"Virginia Beach, Virginia",Former Olympian,26,5,31.0,9.0
Shanae Ankney,"Sycamore, Ohio",Recruiter,26,5,30.0,8.0
Jill Chin,"Scituate, Rhode Island",Architectural Historian,26,4,27.0,5.0
Lyndsey Windham,"Orange, Texas",Industrial Sales Representative,26,4,29.0,7.0
Sierra Jackson,"Oklahoma City, Oklahoma",Yoga Instructor,26,4,27.0,5.0
Elizabeth Corrigan,"Highlands Ranch, Colorado",Real Estate Advisor,26,3,33.0,11.0
Kira Mengistu,"Philadelphia, Pennsylvania",Physician,26,3,33.0,11.0
Melina Nasab,"West Hollywood, California",Personal Trainer,26,3,28.0,6.0
Ency Abedin,"Burbank, California",Sales Manager,26,2,29.0,7.0
Kate Gallivan,"Lake Hollywood, California",Real Estate Agent,26,2,33.0,11.0
Tessa Tookes,"Stamford, Connecticut",HR Specialist,26,2,27.0,5.0
Cassidy Timbrooks,"Cave Creek, Arizona",Executive Recruiter,26,2,27.0,5.0
Daria Rose,"Baldwin, New York",Law Student,26,1,25.0,3.0
Hailey Malles,"Orlando, Florida",Pediatric Nurse,26,1,27.0,5.0
Ivana Noble,"Snellville, Georgia",Bar Mitzvah Dancer,26,1,32.0,10.0
Jane Paik,"Los Angeles, California",Social Media Director,26,1,34.0,12.0
Lindsay Dobbs,"Warner Robins, Georgia",Neonatal nurse,26,1,28.0,6.0
Rianna Hockaday,"Mount Pleasant, Texas",Registered Nurse,26,1,28.0,6.0
Samantha Jeffries,"Dayton, Ohio",Occupational Therapist,26,1,27.0,5.0
Claire Heilig,"Virginia Beach, Virginia",Spray Tanner,26,1,30.0,8.0
"Kaitlyn ""Kaity"" Biggar","Kingston, Ontario",Travel Nurse,27,11,29.0,9.0
"Gabriella ""Gabi"" Elnicki","Pittsford, Vermont",Senior Account Executive,27,10,26.0,6.0
Ariel Frenkel,"Manhattan, New York",Marketing Executive,27,9,29.0,9.0
Charity Lawson,"Columbus, Georgia",Child and Family Therapist,27,8,28.0,8.0
Katherine Izzo,"Tampa, Florida",Registered Nurse,27,7,27.0,7.0
Brooklyn Willie,"Mineola, Texas",Rodeo Racer,27,7,26.0,6.0
Greer Blitzer,"Bellaire, Texas",Medical Sales Representative,27,7,25.0,5.0
"Alyssa ""Aly"" Jacobs","Smyrna, Georgia",Healthcare Strategist,27,6,27.0,7.0
Jess Girod,"Winter Springs, Florida",E-Commerce Coordinator,27,6,24.0,4.0
Kylee Russell,"Charlotte, North Carolina",Postpartum Nurse,27,5,26.0,6.0
Mercedes Northup,"Bloomfield, Iowa",Nonprofit Case Manager,27,5,25.0,5.0
Davia Bunch,"Roebuck, South Carolina",Marketing Manager,27,4,26.0,6.0
Genevie Mayo,"Joppa, Maryland",Neonatal Nurse,27,4,27.0,7.0
Anastasia Keramidas,"Baltimore, Maryland",Content Marketing Manager,27,4,31.0,11.0
Christina Mandrell,"Hendersonville, Tennessee",Content Creator,27,3,28.0,8.0
Brianna Thorbourne,Entrepreneur,"Jersey City, New Jersey",27,3,25.0,5.0
Bailey Brown,"Brentwood, Tennessee",Executive Recruiter,27,3,28.0,8.0
"Catherine ""Cat"" Wong","Long Island, New York",Professional Dancer,27,2,27.0,7.0
Kimberly Gutierrez,"Stroudsburg, Pennsylvania",Hospitality Manager,27,2,31.0,11.0
Victoria Jameson,"Keller, Texas",Professional Makeup Artist,27,2,31.0,11.0
Becca Serrano,"Burbank, California",Nursing Student,27,1,27.0,7.0
Cara Ammon,"McCandless, Pennsylvania",Corporate Recruiter,27,1,28.0,8.0
Holland Parsons,"Boca Raton, Florida",Insurance Marketer,27,1,25.0,5.0
Lekha Ravi,"Miami, Florida",Financial Advisor,27,1,30.0,10.0
Olivia Lewis,"Churchville, New York",Patient Care Technician,27,1,25.0,5.0
Olivia Miller,"Delphos, Ohio",Stylist,27,1,27.0,7.0
Sonia Sharma,"Jericho, New York",Project Manager,27,1,30.0,10.0
Vanessa Dinh,"Farmington Hills, Michigan",Restaurant Marketer,27,1,24.0,4.0
Viktoria Eichner,"Chicago, Illinois",Nanny,27,1,30.0,10.0
Madison Johnson,"Fargo, North Dakota",Business Owner,27,1,28.0,8.0
Kelsey Anderson,"Leesville, Louisiana",Junior Project Manager,28,11,26.0,4.0
Daisy Kent,"Becker, Minnesota",Account Executive,28,10,26.0,4.0
Rachel Nance,"Honolulu, Hawaii",ICU Nurse,28,9,27.0,5.0
Maria Georgas,"Kleinburg, Ontario",Executive Assistant,28,8,30.0,8.0
Jenn Tran,"Hillsdale, New Jersey",Physician Assistant Student,28,7,27.0,5.0
Kelsey Toussant,"Inglewood, California",Actress,28,7,32.0,10.0
Katelyn DeBacker,"Santa Fe, New Mexico",Radiochemist,28,6,27.0,5.0
Lea Cayanan,"Waipahu, Hawaii",Account Manager,28,6,24.0,2.0
Lexi Young,"Pataskala, Ohio",Digital Strategist,28,6,31.0,9.0
Jess Edwards,"Erwin, Tennessee",Executive Assistant,28,6,25.0,3.0
Autumn Waggoner,"De Soto, Missouri",Account Executive,28,5,27.0,5.0
Madina Alam,"Johnstown, New York",Mental Health Therapist,28,5,32.0,10.0
Allison Hollinger,"Dover, Delaware",Realtor,28,4,27.0,5.0
Edwina Dorbor,"Maple Grove, Minnesota",Entrepreneur,28,4,26.0,4.0
Sydney Gordon,"Newport, Rhode Island",Vintage Store Owner,28,4,29.0,7.0
Chrissa Perez,"Abbotsford, British Columbia",Marketing Director,28,3,28.0,6.0
Evalin Clark,"San Antonio, Texas",Nanny,28,3,30.0,8.0
Starr Skyler,"Delray Beach, Florida",Mental Health Counselor,28,3,27.0,5.0
Erika Cardenas,"North Bergen, New Jersey",Leasing Agent,28,2,26.0,4.0
Marlena Haddad,"Waterbury, Connecticut",Finance Writer,28,2,28.0,6.0
Taylor Wiens,"Olathe, Kansas",Recruiter,28,2,25.0,3.0
Lauren Hollinger,"Dover, Delaware",Registered Nurse,28,2,29.0,7.0
Chandler Dewgard,"Brooklyn, New York",Graphic Designer,28,1,25.0,3.0
Kayla Rodgers,"Hamilton, Ohio",Guidance Counselor,28,1,29.0,7.0
Kyra Brusch,"Miami, Florida",Paralegal,28,1,27.0,5.0
Lanie Latsios,"Glen Mills, Pennsylvania",Realtor,28,1,28.0,6.0
Nat Crepeau,"Sudbury, Ontario",Nursing Professor,28,1,27.0,5.0
Sam Hale,"Melville, New York",CPA,28,1,32.0,10.0
Samantha Washington,"Lincoln, Nebraska",Miami Dolphins Cheerleader,28,1,26.0,4.0
Sandra Rabadi,"Strongsville, Ohio",Cybersecurity Consultant,28,1,27.0,5.0
Talyah Jackson,"Huntington Beach, California",Esthetician,28,1,25.0,3.0
Zoe Antona,"Roswell, Georgia",Artist,28,1,25.0,3.0
"Jennifer Schefft
","Mentor, Ohio
","Publicist
",3,8,27.0,17.0
"Kirsten Buschbacher
","Valrico, Florida
","E-Commerce Merchant
",3,7,24.0,20.0
"Tina Panas
","Oconomowoc, Wisconsin
","Student
",3,6,23.0,21.0
"Cristina Costa
","Montclair, New Jersey
","Pharmaceutical sales consultant
",3,5,31.0,13.0
"Anne-Michelle
","Burbank, California
","Bartender/actress
",3,4,25.0,19.0
"Liz
","Chicago, Illinois
","Event marketing director
",3,4,23.0,21.0
"Aubree
","Las Vegas, Nevada
","Hair stylist
",3,3,26.0,18.0
"Heather
","Waltham, Massachusetts
","Student
",3,3,22.0,22.0
"Tina S.
","Nashville, Tennessee
","Event planner
",3,3,26.0,18.0
"Amy P.
","Charleston, South Carolina
","Massage therapist
",3,2,29.0,15.0
"Christina S.
","Palm Harbor, Florida
","Realtor
",3,2,24.0,20.0
"Elizabeth
","Bolingbrook, Illinois
","Child life specialist
",3,2,24.0,20.0
"Shannon
","New York, New York
","Human resources
",3,2,26.0,18.0
"Amy G.
","New York, New York
","Graphic designer
",3,1,24.0,20.0
"Brooke
","Jacksonville, Florida
","Student
",3,1,21.0,23.0
"Courtney
","San Anselmo, Texas
","Administrative assistant
",3,1,24.0,20.0
"Ginny
","Kansas City, Missouri
","Server
",3,1,25.0,19.0
"Jennifer B.
","New Port Richey, Florida
","Pharmacist
",3,1,26.0,18.0
"Kerri
","Los Angeles, California
","Corporate recruiter
",3,1,25.0,19.0
"Kristen
","Excelsior, Minnesota
","Real-estate sales
",3,1,29.0,15.0
"Stephanie
","Mount Pleasant, Tennessee
","Server
",3,1,21.0,23.0
"Tiffany Sandles
","Cuyahoga Falls, Ohio
","Mansion caretaker
",3,1,26.0,18.0
"Estella Gardinier
","Beverly Hills, California
","Mortgage Broker
",4,8,28.0,21.0
"Kelly Jo Kuharski
","Kalamazoo, Michigan
","Director of community relations
",4,7,24.0,25.0
"Mary Delgado
","Tampa, Florida
","Sales manager
",4,6,36.0,13.0
"Meredith Phillips
","Beaverton, Oregon
","Make-up artist
",4,5,29.0,20.0
"Brooke Bradford
","Bartlett, Tennessee
","Teacher
",4,4,24.0,25.0
"Lee-Ann Callebs
","Athens, Georgia
","Second-grade teacher
",4,4,24.0,25.0
"Antoinette Madonna
","Philadelphia, Pennsylvania
","Senior Account Manager
",4,3,30.0,19.0
"Jenny Hartgrove
","Austin, Texas
","Marketing Director
",4,3,30.0,19.0
"Karin Smith
","Brooklyn Park, Minnesota
","Mortgage Consultant
",4,3,32.0,17.0
"Misty
","Dallas, Texas
","Radio Promotions Assistant
",4,3,23.0,26.0
"Jennifer
","La Jolla, California
","Elementary School Teacher
",4,2,26.0,23.0
"Kristi Houston
","Chicago, Illinois
","Loan Processor
",4,2,24.0,25.0
"Lanah
","Poolesville, Maryland
","Event Coordinator
",4,2,27.0,22.0
"Lindsay D.
","Los Angeles, California
","Professional Dancer
",4,2,23.0,26.0
"Lindsay King
","Mauldin, South Carolina
","Pharmaceutical Sales
",4,1,25.0,24.0
"Christine
","Corona, California
","Administrative Assistant
",4,1,24.0,25.0
"Darla Whistler
","Gainesville, Florida
","Attorney
",4,1,26.0,23.0
"Julie
","Louisville, Kentucky
","Sales/Modeling
",4,1,29.0,20.0
"Lauren
","Redondo Beach, California
","Retail Buyer
",4,1,24.0,25.0
"Leona
","Chicago, Illinois
","Realtor's assistant
",4,1,25.0,24.0
"Samentha
","Chicago, Illinois
","Kitchen designer
",4,1,25.0,24.0
"Shea Deeds
","Shreveport, Lousiana
","Firefighter
",4,1,25.0,24.0
"Shelly
","Wanwatosa, Wisconsin
","Pharmaceutical Sales
",4,1,26.0,23.0
"Stacey
","Massillon, OH
","Hair stylist
",4,1,26.0,23.0
"Jessica Bowlin
","Huntington Beach, California
","Student
",5,8,22.0,21.0
"Tara Huckeby
","Shawnee, Oklahoma
","General contractor
",5,7,23.0,20.0
"Mandy Jeffreys
","Midland, Texas
","Architecture Designer
",5,6,26.0,17.0
"Trish Schneider
","Atlanta, Georgia
","Model
",5,5,28.0,15.0
"Karen Lindsay
","Pleasant Grove, Utah
","Pharmaceutical Salesperson
",5,4,28.0,15.0
"Suzie Williams
","Ann Arbor, Michigan
","Prosthetic Technician
",5,4,23.0,20.0
"Jenny De Schiralli
","Carrboro, North Carolina
","Swim Instructor
",5,3,26.0,17.0
"Jessica Holcomb
","Pearsall, Texas
","Attorney
",5,3,25.0,18.0
"Julie Durda
","Sacramento, California
","Professional Cheerleader
",5,3,24.0,19.0
"Katie Gehart
","Scottsdale, Arizona
","LASIK Eye & Skin Center Manager
",5,3,22.0,21.0
"Amber LaRoux
","Sunriver, Oregon
","Consultant
",5,2,27.0,16.0
"Anne-Catherine Labbé
","Quebec City, Quebec, Canada
","Model
",5,2,27.0,16.0
"Celeste Creel
","Ithaca, New York
","Executive Assistant
",5,2,24.0,19.0
"Debbie Merkett
","Pinetops, North Carolina
","Massage Therapist
",5,2,27.0,16.0
"Jean-Marie Callahan
","Gibson, North Carolina
","Hairstylist
",5,2,26.0,17.0
"Jenny Matthews
","Canton, Michigan
","Retail Manager
",5,2,24.0,19.0
"Kristy Romero
","Dearborn, Michigan
","Student
",5,2,25.0,18.0
"Mandy Clemens
","San Diego, California
","Professional Soccer Player
",5,2,26.0,17.0
"DeShaun Warner
","Phillipsburg, New Jersey
","Account Manager
",5,1,25.0,18.0
"Dolores Farburg
","Madison, New Jersey
","Account Manager
",5,1,26.0,17.0
"Francine Jones
","Houston, Texas
","Retail Manager
",5,1,25.0,18.0
"Holly Reeder
","Tulsa, Oklahoma
","Bank Representative
",5,1,26.0,17.0
"Jessica Kyron
","Cincinnati, Ohio
","Student
",5,1,21.0,22.0
"Kristin Clearwater
","Sausalito, California
","Singer
",5,1,25.0,18.0
"Rachel Clementi
","Buffalo, New York
","Fashion PR Manager
",5,1,26.0,17.0
"Tanya
","Plano, TX
","Teacher
",6,8,31.0,27.0
"Cynthia
","Hermosa Beach, CA
","Charity foundations director
",6,7,37.0,21.0
"Cheresse
","St. Louis, MO
","Advertising director
",6,6,31.0,27.0
"Andrea
","Denver, CO
","Dental hygienist
",6,5,33.0,25.0
"Jayne
","Key Largo, FL
","Dog groomer
",6,5,37.0,21.0
"Krysta
","Oklahoma City, OK
","Financial analyst
",6,4,28.0,30.0
"Amanda
","New York, NY
","Cosmetics buyer
",6,3,27.0,31.0
"Kristie
","Windsor, Canada
","Bar owner
",6,3,32.0,26.0
"Susie
","Hollywood, CA
","Insurance broker
",6,3,32.0,26.0
"Ashley
","Santa Barbara, CA
","Teacher
",6,2,31.0,27.0
"Kelly
","Beverly Hills, CA
","Actress
",6,2,34.0,24.0
"Leina
","Chula Vista, CA
","Advertising associate
",6,2,28.0,30.0
"Natalie
","Santa Monica, CA
","Retail sales
",6,2,34.0,24.0
"Wende
","Austin, TX
","Model
",6,2,28.0,30.0
"Abby
","Henderson, NV
","Acrobat
",6,1,29.0,29.0
"Alma Rubenstein
","Astoria, OR
","Cafe owner
",6,1,35.0,23.0
"Amy
","San Diego, CA
","Marketing consultant
",6,1,27.0,31.0
"Carolyn
","Tusla, OK
","Financial advisor
",6,1,36.0,22.0
"Kerry
","San Francisco, CA
","Nurse
",6,1,31.0,27.0
"Kristin
","Pensacola, FL
","Office manager
",6,1,27.0,31.0
"Lisa
","West Palm Beach, FL
","Teacher
",6,1,33.0,25.0
"Melinda
","Nashville, TN
","Photographer
",6,1,39.0,19.0
"Nicole
","Libertyville, IL
","Executive recruiter
",6,1,28.0,30.0
"Sarah Brice
","McKinney, Texas
","Labor and Delivery Nurse
",7,8,25.0,23.0
"Krisily Kennedy
","Warwick, Rhode Island
","Salon Coordinator
",7,7,26.0,22.0
"Sarah Welch
","Los Angeles, California
","Fashion Design
",7,6,24.0,24.0
"Kimberly Choma
","Edmonton, Alberta
","Swimsuit Model
",7,5,25.0,23.0
"Anitra
","Manhattan Beach, California
","Makeup Artist
",7,4,29.0,19.0
"Kindle
","Rockwell, Texas
","Pro Basketball Cheerleader
",7,4,23.0,25.0
"Jenny Adams
","Edmonton, Alberta
","Marketing Coordinator
",7,3,23.0,25.0
"Kara
","Woodland Hills, California
","Nanny
",7,3,26.0,22.0
"Carrie
","Minneapolis, Minnesota
","Computer Specialist
",7,2,27.0,21.0
